ControlSet,CacheEntryPosition,Path,LastModifiedTimeUTC,Executed,Duplicate,SourceFile
1,49,C:\MinGW\bin\msgunfmt.exe,2014-04-30 12:33:49,NA,False,Live Registry
1,50,C:\MinGW\bin\mingw-get.exe,2017-09-05 15:05:15,NA,False,Live Registry
1,51,C:\MinGW\bin\msgmerge.exe,2014-04-30 12:33:49,NA,False,Live Registry
1,52,C:\MinGW\bin\mingw32-make.exe,2012-09-02 00:42:28,NA,False,Live Registry
1,53,C:\MinGW\bin\objdump.exe,2017-05-22 10:18:42,NA,False,Live Registry
1,54,C:\MinGW\bin\msginit.exe,2014-04-30 12:33:50,NA,False,Live Registry
1,55,C:\MinGW\bin\objcopy.exe,2017-05-22 10:18:43,NA,False,Live Registry
1,56,C:\MinGW\bin\strip.exe,2017-05-22 10:18:43,NA,False,Live Registry
1,57,C:\MinGW\bin\msggrep.exe,2014-04-30 12:33:50,NA,False,Live Registry
1,58,C:\MinGW\bin\nm.exe,2017-05-22 10:18:43,NA,False,Live Registry
1,59,C:\MinGW\bin\readelf.exe,2017-05-22 10:18:43,NA,False,Live Registry
1,60,C:\MinGW\bin\msgfmt.exe,2014-04-30 12:33:49,NA,False,Live Registry
1,61,C:\MinGW\bin\msguniq.exe,2014-04-30 12:33:50,NA,False,Live Registry
1,62,C:\MinGW\bin\ngettext.exe,2014-04-30 12:33:47,NA,False,Live Registry
1,63,C:\MinGW\bin\ranlib.exe,2017-05-22 10:18:43,NA,False,Live Registry
1,64,C:\MinGW\bin\recode-sr-latin.exe,2014-04-30 12:33:50,NA,False,Live Registry
1,65,C:\MinGW\bin\size.exe,2017-05-22 10:18:42,NA,False,Live Registry
1,66,C:\MinGW\bin\addr2line.exe,2017-05-22 10:18:43,NA,False,Live Registry
1,67,C:\MinGW\bin\ar.exe,2017-05-22 10:18:42,NA,False,Live Registry
1,68,C:\MinGW\bin\as.exe,2017-05-22 10:18:44,NA,False,Live Registry
1,69,C:\WINDOWS\system32\NOTEPAD.EXE,2021-07-22 07:51:07,NA,False,Live Registry
1,70,C:\MinGW\bin\strings.exe,2017-05-22 10:18:42,NA,False,Live Registry
1,71,C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeC2RClient.exe,2021-08-06 12:56:08,NA,False,Live Registry
1,72,C:\Windows\System32\xwizard.exe,2019-12-07 09:09:51,NA,False,Live Registry
1,73,C:\Windows\System32\xcopy.exe,2019-12-07 09:09:34,NA,False,Live Registry
1,74,C:\Users\john\Desktop\Everything\Forensics_tools\Prefetch\winprefetchview-x64\WinPrefetchView.exe,2020-02-11 12:18:38,NA,False,Live Registry
1,75,C:\Users\john\AppData\Roaming\Microsoft\Installer\{A92EA95D-8603-4C3D-A3F1-E561CCFDE269}\_99DCAEEB36F7D559481D05.exe,2021-07-07 11:03:50,NA,False,Live Registry
1,76,C:\Program Files (x86)\Dropbox\Client\Dropbox.exe,2021-08-05 20:37:10,NA,False,Live Registry
1,77,C:\Program Files\WinRAR\WinRAR.exe,2019-12-11 09:17:37,NA,False,Live Registry
1,78,C:\Users\john\AppData\Local\Programs\Python\Python38-32\python.exe,2019-10-14 17:42:42,NA,False,Live Registry
1,79,C:\Program Files (x86)\Microsoft Visual Studio\2019\Community\Common7\IDE\devenv.exe,2021-08-13 14:36:17,NA,False,Live Registry
1,80,C:\WINDOWS\System32\DriverStore\FileRepository\igdlh64.inf_amd64_45855586d601d062\igfxext.exe,2021-01-19 17:56:58,NA,False,Live Registry
1,81,C:\WINDOWS\TEMP\invF1C_tmp\Novatek\Rom_Check_Aux_Tool.exe,2021-05-24 07:32:41,NA,False,Live Registry
1,82,C:\WINDOWS\TEMP\invF1C_tmp\Dell_OSRI\Dell_OSRI_CIC.exe,2021-05-24 07:32:40,NA,False,Live Registry
1,83,C:\WINDOWS\TEMP\invF1C_tmp\Dell_DBUtilPackageInstaller\Dell_DBUtilPackageInstaller.exe,2021-06-25 04:10:02,NA,False,Live Registry
1,84,C:\WINDOWS\TEMP\invF1C_tmp\Dell_ThermalCIC\Dell_ThermalPpkgInstaller.exe,2021-07-08 02:27:05,NA,False,Live Registry
1,85,C:\WINDOWS\TEMP\invF1C_tmp\ExtensionINFINV\EXTDRVRInv.exe,2021-05-24 07:32:40,NA,False,Live Registry
1,86,C:\WINDOWS\TEMP\invF1C_tmp\AppxInventory\APPXInventory.exe,2021-05-24 07:32:40,NA,False,Live Registry
1,87,C:\WINDOWS\TEMP\invF1C_tmp\SoftCompInv\SOFTWARECOMPONENTInv.exe,2021-05-24 07:32:41,NA,False,Live Registry
1,88,C:\WINDOWS\TEMP\invF1C_tmp\TBT_Dock_Firmware\GetDockVer32W.exe,2021-07-08 02:30:19,NA,False,Live Registry
1,89,C:\WINDOWS\TEMP\invF1C_tmp\RegMSI\Reg-MSI_Inventory.exe,2021-05-24 07:32:41,NA,False,Live Registry
1,90,C:\WINDOWS\TEMP\invF1C_tmp\Thunderbolt_Reg\Executables\DRVUpdate.exe,2021-07-08 02:28:41,NA,False,Live Registry
1,91,C:\WINDOWS\TEMP\invF1C_tmp\SalomonDock\SalomonDock.exe,2021-05-24 07:32:41,NA,False,Live Registry
1,92,C:\WINDOWS\TEMP\invF1C_tmp\Thunderbolt_Reg\TB_Controller_new\..\ThunderboltRegModule.exe,2021-07-08 02:28:52,NA,False,Live Registry
1,93,C:\WINDOWS\TEMP\invF1C_tmp\Thunderbolt_Reg\RLtek_USB_Driver\..\ThunderboltRegModule.exe,2021-07-08 02:28:52,NA,False,Live Registry
1,94,C:\WINDOWS\TEMP\invF1C_tmp\Thunderbolt_Reg\ASMedia_USB_Controller\..\ThunderboltRegModule.exe,2021-07-08 02:28:52,NA,False,Live Registry
1,95,C:\WINDOWS\TEMP\invF1C_tmp\Thunderbolt_Reg\RLtek_USB_Driver_WOW\..\ThunderboltRegModule.exe,2021-07-08 02:28:52,NA,False,Live Registry
1,96,C:\WINDOWS\TEMP\invF1C_tmp\Thunderbolt_Reg\TB_Firmware\..\ThunderboltRegModule.exe,2021-07-08 02:28:52,NA,False,Live Registry
1,97,C:\WINDOWS\TEMP\invF1C_tmp\Thunderbolt_Reg\RLtek_Ethernate\..\ThunderboltRegModule.exe,2021-07-08 02:28:52,NA,False,Live Registry
1,98,C:\WINDOWS\TEMP\invF1C_tmp\Executables\Appupdate.exe,2021-07-08 02:28:43,NA,False,Live Registry
1,99,C:\WINDOWS\TEMP\invF1C_tmp\Executables\PNPUpdate.exe,2021-07-08 02:28:45,NA,False,Live Registry
1,100,C:\WINDOWS\TEMP\invF1C_tmp\Thunderbolt_Reg\ThunderboltZeroInv.exe,2021-07-08 02:28:58,NA,False,Live Registry
1,101,C:\WINDOWS\TEMP\invF1C_tmp\SCSI_ODD\SCSIupdate.exe,2021-05-24 07:32:41,NA,False,Live Registry
1,102,C:\WINDOWS\TEMP\invF1C_tmp\Executables\SSDUpdate.exe,2021-07-08 02:28:46,NA,False,Live Registry
1,103,C:\WINDOWS\TEMP\invF1C_tmp\Executables\UsbUpdate.exe,2021-07-08 02:28:44,NA,False,Live Registry
1,104,C:\WINDOWS\TEMP\invF1C_tmp\OSINV\osinv.exe,2021-07-08 02:30:14,NA,False,Live Registry
1,105,C:\WINDOWS\TEMP\invF1C_tmp\Executables\DRVUpdate.exe,2021-07-08 02:28:41,NA,False,Live Registry
1,106,C:\WINDOWS\TEMP\invF1C_tmp\libsmbios\smbiosinfo.exe,2021-07-08 02:30:15,NA,False,Live Registry
1,107,C:\WINDOWS\TEMP\invF1C_tmp\invcol.exe,2021-07-08 02:30:10,NA,False,Live Registry
1,108,C:\WINDOWS\system32\vssvc.exe,2021-07-22 07:50:12,NA,False,Live Registry
1,109,C:\Users\john\AppData\Local\Temp\5E7228BA-0ACA-45EB-8330-8256156E6BBB\dismhost.exe,2021-07-22 07:50:27,NA,False,Live Registry
1,110,C:\WINDOWS\system32\cleanmgr.exe,2021-07-22 07:50:43,NA,False,Live Registry
1,111,C:\Windows\System32\smartscreen.exe,2021-07-22 07:50:00,NA,False,Live Registry
1,112,C:\Users\john\Desktop\Everything\Forensics_tools\Collectors\LiveResponseCollection-Cedarpelta\Windows_Live_Response\Tools\unxutils\sha256sum.exe,2017-02-14 00:05:46,NA,False,Live Registry
1,113,C:\Users\john\Desktop\Everything\Forensics_tools\Collectors\LiveResponseCollection-Cedarpelta\Windows_Live_Response\Tools\unxutils\sha384sum.exe,2017-02-14 00:05:46,NA,False,Live Registry
1,114,C:\Users\john\Desktop\Everything\Forensics_tools\Collectors\LiveResponseCollection-Cedarpelta\Windows_Live_Response\Tools\unxutils\sha512sum.exe,2017-02-14 00:05:46,NA,False,Live Registry
1,115,C:\Users\john\Desktop\Everything\Forensics_tools\Collectors\LiveResponseCollection-Cedarpelta\Windows_Live_Response\Tools\unxutils\tar.exe,2017-02-14 00:05:46,NA,False,Live Registry
1,116,C:\Users\john\Desktop\Everything\Forensics_tools\Collectors\LiveResponseCollection-Cedarpelta\Windows_Live_Response\Tools\unxutils\bunzip2.exe,2017-02-14 00:05:44,NA,False,Live Registry
1,117,C:\Users\john\Desktop\Everything\Forensics_tools\Collectors\LiveResponseCollection-Cedarpelta\Windows_Live_Response\Tools\unxutils\uname.exe,2017-02-14 00:05:46,NA,False,Live Registry
1,118,C:\Users\john\Desktop\Everything\Forensics_tools\Collectors\LiveResponseCollection-Cedarpelta\Windows_Live_Response\Tools\unxutils\dd.exe,2017-02-14 00:05:44,NA,False,Live Registry
1,119,C:\Users\john\Desktop\Everything\Forensics_tools\Collectors\LiveResponseCollection-Cedarpelta\Windows_Live_Response\Tools\unxutils\unzip.exe,2017-02-14 00:05:46,NA,False,Live Registry
1,120,C:\Users\john\Desktop\Everything\Forensics_tools\Collectors\LiveResponseCollection-Cedarpelta\Windows_Live_Response\Tools\unxutils\grep.exe,2017-02-14 00:05:44,NA,False,Live Registry
1,121,C:\Users\john\Desktop\Everything\Forensics_tools\Collectors\LiveResponseCollection-Cedarpelta\Windows_Live_Response\Tools\unxutils\wget.exe,2017-02-14 00:05:46,NA,False,Live Registry
1,122,C:\Users\john\Desktop\Everything\Forensics_tools\Collectors\LiveResponseCollection-Cedarpelta\Windows_Live_Response\Tools\unxutils\sha1sum.exe,2017-02-14 00:05:44,NA,False,Live Registry
1,123,C:\Users\john\Desktop\Everything\Forensics_tools\Collectors\LiveResponseCollection-Cedarpelta\Windows_Live_Response\Tools\unxutils\md5sum.exe,2017-02-14 00:05:44,NA,False,Live Registry
1,124,C:\Users\john\Desktop\Everything\Forensics_tools\Collectors\LiveResponseCollection-Cedarpelta\Windows_Live_Response\Tools\unxutils\whoami.exe,2017-02-14 00:05:46,NA,False,Live Registry
1,125,C:\Users\john\Desktop\Everything\Forensics_tools\Collectors\LiveResponseCollection-Cedarpelta\Windows_Live_Response\Tools\unxutils\pclip.exe,2017-02-14 00:05:44,NA,False,Live Registry
1,126,C:\Users\john\Desktop\Everything\Forensics_tools\Collectors\LiveResponseCollection-Cedarpelta\Windows_Live_Response\Tools\unxutils\sha224sum.exe,2017-02-14 00:05:46,NA,False,Live Registry
1,127,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\92.0.902.67\msedgewebview2.exe,2021-08-05 06:44:50,NA,False,Live Registry
1,128,C:\Program Files\Microsoft Office\Root\Office16\EXCEL.EXE,2021-08-12 17:02:25,NA,False,Live Registry
1,129,C:\Program Files\Microsoft Office\Root\Office16\WINWORD.EXE,2021-08-07 14:33:14,NA,False,Live Registry
1,130,C:\Program Files\CCleaner\CCleaner64.exe,2021-05-20 11:37:18,NA,False,Live Registry
1,131,C:\WINDOWS\explorer.exe,2021-07-22 07:49:57,NA,False,Live Registry
1,132,C:\Program Files (x86)\CheckPoint\Endpoint Connect\DAAW.exe,2019-12-04 15:05:20,NA,False,Live Registry
1,133,C:\Program Files (x86)\Citrix\ICA Client\SelfServicePlugin\SelfService.exe,2021-05-03 00:46:10,NA,False,Live Registry
1,134,C:\Program Files (x86)\CCleaner Browser\Application\CCleanerBrowser.exe,2021-08-03 11:58:23,NA,False,Live Registry
1,135,C:\Users\john\Desktop\Everything\Forensics_tools\Malware Analysis\pestudio\pestudio.exe,2021-07-16 12:21:32,NA,False,Live Registry
1,136,C:\Program Files (x86)\Log Parser 2.2\LogParser.exe,2005-03-17 14:17:26,NA,False,Live Registry
1,137,C:\WINDOWS\system32\SearchProtocolHost.exe,2021-07-22 07:50:07,NA,False,Live Registry
1,138,C:\SysInternals\Autoruns64.exe,2019-11-27 10:04:16,NA,False,Live Registry
1,139,C:\SysInternals\Autoruns.exe,2019-11-27 10:04:16,NA,False,Live Registry
1,140,C:\SysInternals\notmyfaultc64.exe,2019-11-27 10:04:16,NA,False,Live Registry
1,141,C:\SysInternals\notmyfaultc.exe,2019-11-27 10:04:16,NA,False,Live Registry
1,142,C:\SysInternals\notmyfault64.exe,2019-11-27 10:04:16,NA,False,Live Registry
1,143,C:\SysInternals\pendmoves64.exe,2019-11-27 10:04:15,NA,False,Live Registry
1,144,C:\SysInternals\procdump64.exe,2019-11-27 10:04:15,NA,False,Live Registry
1,145,C:\SysInternals\pendmoves.exe,2019-11-27 10:04:15,NA,False,Live Registry
1,146,C:\SysInternals\notmyfault.exe,2019-11-27 10:04:16,NA,False,Live Registry
1,147,C:\SysInternals\procdump.exe,2019-11-27 10:04:15,NA,False,Live Registry
1,148,C:\SysInternals\movefile64.exe,2019-11-27 10:04:15,NA,False,Live Registry
1,149,C:\SysInternals\psfile64.exe,2019-11-27 10:04:15,NA,False,Live Registry
1,150,C:\SysInternals\pagedfrg.exe,2019-11-27 10:04:15,NA,False,Live Registry
1,151,C:\SysInternals\ntfsinfo.exe,2019-11-27 10:04:15,NA,False,Live Registry
1,152,C:\SysInternals\procexp64.exe,2019-11-27 10:04:16,NA,False,Live Registry
1,153,C:\SysInternals\ntfsinfo64.exe,2019-11-27 10:04:15,NA,False,Live Registry
1,154,C:\SysInternals\pipelist.exe,2019-11-27 10:04:15,NA,False,Live Registry
1,155,C:\SysInternals\pipelist64.exe,2019-11-27 10:04:15,NA,False,Live Registry
1,156,C:\SysInternals\portmon.exe,2019-11-27 10:04:15,NA,False,Live Registry
1,157,C:\SysInternals\procexp.exe,2019-11-27 10:04:16,NA,False,Live Registry
1,158,C:\SysInternals\PsExec.exe,2019-11-27 10:04:15,NA,False,Live Registry
1,159,C:\SysInternals\PsExec64.exe,2019-11-27 10:04:15,NA,False,Live Registry
1,160,C:\SysInternals\psfile.exe,2019-11-27 10:04:15,NA,False,Live Registry
1,161,C:\SysInternals\autorunsc.exe,2019-11-27 10:04:16,NA,False,Live Registry
